code (Eng);subcode (Eng);code (fr);sous-code (fr);code #;subcode #;subsubcode #;short;court;ref#;jpg;video;date;comment;English;français;core;Toro Tegu (Toupere, JH);Ben Tey (Beni, JH);Bankan-Tey (Walo, JH);Nanga (Anda, JH);Donno So;Jamsay (alphabet);Jamsay (Douentza area, JH);Perge Tegu (Pergué, JH);Gourou (Kiri, JH);Jamsay (Mondoro, JH);Togo-Kan (Koporo-pen, JH with BT);Yorno So (Yendouma, JH);Tomo Kan (Segue);Tomo Kan (Diangassagou);Tommo-So (JH);Tommo-So (Tongo Tongo, LM);Dogul Dom (Kundialang, JH);Dogul Dom (Bendiely & Kundialang, BC);Tebul Ure (JH);Yanda Dom (Yanda, JH);Najamba (Kubewel-Adia, JH);Tiranige;Mombo (Songho, KP);Ampari (Nando, KP);Bunoge (Boudou);Penange (Pinia);@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cattle;animal;bovin;1;4;6;cow, heifer;génisse, vache;00011;;;old;;heifer, young cow (not yet a mother);génisse, jeune vache (qui n'a pas encore mis bas);2;na??a?-ya? gi?re?y;na?: gu?r??-m;wi?:g??-m\\wi?:g??;na??a? gu?ra?, na??a? ya?-gu?ra?;na??a?-gu?l??;na?agur?;na??a? gu?r??;;;;na??a? gu?r??;na?: gu?l??;;;;na?a? gu?l??y;;;;na?: gu?l??\\-mu?;n??: gu?l??\\na?wo?: gu?l??-mbo?;so??jo?ni? (Ningo);na?: wi?ya?y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cattle;animal;bovin;1;4;7;bull;taureau;00012;;;old;;bull;taureau;2;na??a?-a?ra?;na?: a?r?a?-m;;na??a? a?r?a?;na??a? a?na?;na?aar?a;na??a? a?r?a?;;;;na??a? a?r?a?;na?: a?r?a?;na???a?-ju??gu?;;;na?a? a?na?;;na?a?gu? a?na?;na?: a?r?a?;;n??: a?ne?\\na?wo?: a?na?:;so??o?ni? (Boui);na?: wa?la?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cattle;animal;bovin;1;4;8;bull, ox;bœuf;00013;;;old;;bull (castrated);taureau (castré);2;na??a?-a?ra? p??lu?;na?: p??ru?-m;na?:-a?r?a?-m\\na?:-a?r?a?;na??a? p??ri?;na??a? p??r-u?;na?ap?ru;na??a? p??ru?;na??a? p??ru?;;;na??a? p??ru?;na?: p??ru?;na???a?-h??ru?;;;na?a? p??ru?;na?:g p??r, na?:g p??r-ya?-??;;na?: p??r??:\\p??ru?-mb??;na?: p??du?\\-mu?;n??: po?ra?\\na?wo?: po?ra?-mbo?;gu?lu?mba?;na?: ka?mbi?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cattle;animal;bovin;1;4;9;bull;taureau;00014;;;old;;bull (uncastrated);taureau (non castré);2;na??a?-a?ra? bo?bo?gu?, na??a?-a?ra? ji?w;na?: ja??gu?-m;na?:-ji?-m\\na?:-ji?:;na??a? ja??i?;na??a? ka?la?ndu? (stud);na?aja?;na??a? ja??;na??a? ja??;;na??a? ja??;na??a? ja??u?;na?: ja??u?;;;;na?a? ja?m;na?:g p??ra?:-n;;na?: za??j??:\\za??u?-mb??;na?: za?nju?\\-mu?;n??: ja??a?\\na?wo?: ja??a?-mbo?;ni?ye?;na?: wa?la?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cattle;animal;bovin;1;4;10;bull;taureau;00015;;;old;;bull (uncastrated, young, not yet a stud);taureau (non castré, jeune);3;;na?: ja?: ki?ri?m;;na??a? ko?ro?bo?ri?;;korobori,koroboy;na??a? ko?ro?bo?:ri?, na??a? ko?ro?bo?y;na??a? ko?ro?go?y;;;;na?: a?r?a?-ta?:n;;;;;;;;ko?ro?bo?ri?;n??: bo?nde?\\na?wo?: bo?ndu?-mbo?;a?li?ya?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;dog;animal;chien;1;5;1;dog;chien;00016;;;old;basic;dog;chien;1;ne?nu?;i?nj??-m\\i?nj??;n?je?ru?-m\\n?je?ru?;n??r?i?;i?du?;iju;i?ju?;i?s?u?;i?zu?;i?ju?;i?si?;i?ju?, i?ji?;?u?ju?;u?ju?;xxx;i?se?;u????-?? (pl u????? ya?:);u????;i??j??:\\i??j??:-mb??;i?nj??\\-mu?, n?j??\\-mu?;??gw??:\\??gw??:-mbo?;be?l-ge?-ji?ri? (Boui);i?nj??;i?j?? (i?j?? ge?);?i?nj??;?k??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;1;Bankan-Tey (Walo, JH);chèvre;00017;;;old;;goat;chèvre;1;??r?a?;b??ri?-m ~ b??ru?-m\\b??ru?;b??ru?-m\\b??ru?;b??ri?, mi?r?e? ~ m??r???;??n??;b?ru,b?nna,?r??;b??ru?, b??n-na?:, ??r???;??r???;b??ru?;b??ru?;??r???;??r???;g??;g??:;xxx;??n??;i?na?:;i?na?a?;i?ne?:\\i?:n-b??, i?r?e?:\\i?:n-b??;???n??\\-mu?;i?ne?\\i?na?:;be?li?-ge?-gi?ri? (Ningo);u?na?;;ki?l??;u?na? (?-);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;2;goat kid;cabri, chevreau;00018;;;old;;goat kid;cabri, chevreau;3;??r?a?-[i?r?-i?:];b??r yi?-m;b??r-yi?-m\\-yi?:;b??r-yi?:;??n??-i?:;b?r?i?;b??r?-i?:?;;;;??r?-i?:?;??r???-i?:;;;;??n?? i?i?;;i?na?a? e?gu?;i?r?e?:-??d??;???n-i?ye?;na?:ji?:\\na?:ju?:;ha?ybi? ka?n;u?na? we?:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;3;goat (female);chèvre (femelle);00019;;;old;;nanny-goat, she-goat;chèvre (femelle);3;??r?a?-ya?;b??r ya?-m;b??ru? ya?-m;;;b?nna;b??n-na?:;;;;??r??? na?:;??r??? ya?:;;;;??n?? ya?a?;;;;???n??-y??\\-mu?;i?ne? y??:\\i?na?: ya?wo?:;gi?ro? (Ningo);u?na? y??:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;4;goat (female);chèvre (femelle);00020;;;old;;nanny-goat (not yet a mother);chèvre femelle (qui n'a pas encore mis bas);3;??r?a?-ya? gi?re?y;b??r gu?r??-m;;mi?r?e? gu?ra?;??n?? gu?l??;b?rgur?;b??r gu?r??;;;;??r??? gu?r??;??r???-gu?l??;;;;??n?? gu?l??y;;;;???n?? gu?l??;i?ne? gu?l??\\i?na?: gu?l??-mbo?;be?le??ge?;u?na? gu?la?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;5;goat (male);bouc;00021;;;old;;billygoat, male goat;bouc, chèvre mâle;2;??r?a?-a?ra?;b??r-a?ji?-m\\b??r-a?ji?:, b??r a?r?a?-m;;b??r a?r?a?;??n?? a?na?;b?raji,b?ruar?a;b??r-a?ji?:, b??ru?-a?r?a?;;b??ru? a?gi?:;;??r??? a?r?a?;??r??? a?r?a?;g??-ji?:;;;??n?? a?na?;;;i?r?e?: a?r?a?;???n?? a?n;i?ne? a?ne?\\i?na?: a?na?:;be?l?ge (fodder);u?na? wa?la?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;6;goat (male);bouc;00022;;;old;;billygoat (castrated);bouc (castré);2;??r?a?-a?ra? p??lu?;b??r p??ru?-m;;b??r p??ri?;??n?? p??r-u?;b?rp?ru;b??r p??ru?;??r??? p??ru?;;;??r??? p??ru?;??r??? p??ru?;;;;??n?? p??ru?;;;i?n p??r??:\\p??ru?-mb??;???n?? p??du?\\-mu?;i?ne? p??r???g??\\i?na?: p??r???g??-mbo?;k??y (in nature);u?na? t??bu?l??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;7;goat (male);bouc;00023;;;old;;billygoat (emasculated by crushing);bouc (émasculé en l'écrasant);2;b??l-a?ra? p??lu?;p??re? p??ru?-m;;b??r tu?mbi?;;;b??r tu?m;a?ji?: tu?mbu?;;;;??r??? ka?mu?;;;;??n?? du?mbu?, ??n?? ka?la? pi?ya?a?ri?;;;;???n?? ka?mbu?\\-mu?;i?ne? du?mb??-ba?:\\i?na?: du?mb??-ba?:-mbo?;m??r??;u?na? wa?la? ka?mbi?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;8;goat (male);bouc;00024;;;old;;billygoat (uncastrated);bouc (non castré);2;??r?a?-a?ra? bo?bo?gu?;b??r-a?ji?-m\\b??r-a?ji?:, a?ji?:-m\\a?ji?:;b??r-gi?-m\\-gi?:;b??r ??nd??gi?, ??nd??gi?;??n?? ka?la?ndu? (stud);b?raji,aji;b??r-a?ji?:, a?ji?:;a?ji?:;;;??r??? ja??u?;??r???-a?ki?:;;;;??n?? ja?m, ??n?? gi?y;;;i?n za??j??:\\za??u?-mb??;???n?? ce?nu?\\-mu?;i?ne? e?:be?\\i?na?: e?:bu?:;t??mb??;u?na? wa?la?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;9;goat breed;chèvre (race);00025;;;old;;a breed of goats (the most common breed locally);race de caprins (la plus nombreuse dans la zone);3;;;;b??r de?:;;b?nna;b??n-na?:;;;;;d??g??-??r???;;;;ti?be? ??n??, d??g?? ??n??;;;;b??l??-???n??;i?ne? gi?nd??:\\i?na?: gi?nd??:;s??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;10;goat breed;chèvre (race);00026;;;old;;a breed of goats (small);race de caprins (de petite taille);3;??r?a? c??t??;b??r c??t??-m;b??r k??t??-m\\-k??t??;b??r de?ge?, b??r ke?de?:ji?;;b?rc?t?;b??r c??t??;;;;;??r??? k??t??;;;;??n?? de?ge?, ??n?? du?mbi?-y?, b????b?? ??n??;;;;d??g??-???n??;i?ne? ke?ge?le?\\i?na?: ke?ge?l-mbo?;t??n??;u?na? me?re?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;11;goat breed;chèvre (race);00027;;;old;;a breed of goats (small ears);race de caprins (à petites oreilles);3;??r?a? c??dda?;b??r su?:r?u? pe?:-m;;b??r-pe?:, mi?r?e? su??u?nu? pe?:;;b?rpiwe;b??r pi?we?;;;;;;;;;??n?? su?gu?lu? te?re?;;;;;i?ne? da?na?-me?nji?:\\i?na?: da?na?-me?nju?-mbo?;k??l????? (Boui);u?na? su?gu?li? ku?m??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;goat;animal;chèvre;1;6;12;goat breed;chèvre (race);00028;;;old;;a breed of goats (thick-haired);race de caprins (à poils denses);3;??r?a? ca?pa?;ja?mbe?-m\\ja?mbe?;b??r sa?po?-m\\sa?po?;b??r-ja?mbe?;;cap?,caf?;ca?p??:, ca?f??:;;;;;??r???-bi????;;;;;;;;???n?? ca?pa?;i?ne? ku?l??-g??:\\i?na?: ku?l??-ga?:, i?ne? sa?po?\\i?na?: sa?pu?-mbo?;k??ni?y?? (Ningo);u?na? be?je?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;1;sheep;mouton;00029;;;old;;sheep;mouton;1;b??lu?;p??r??-m\\p??r??;p??r??-m\\p??r??;p??rg??;pe?du?;peju;pe?:ju?;pe?:su?;pe?:zu?;pe?:ju?;pe?ju?;pe?ju?;pe?ji?;pe?ji?;xxx;pe?du?;pe?sge?;pe?si?gi?;pe?de?:\\pe?du?-mbo?;p??:\\-mu?;p??g??\\p??g??-mbo?;ja?p??r??;a?nna?;;?a?la?ma?;a?la?mu?n?? (y-);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;2;lamb;agneau;00030;;;old;;lamb;agneau;2;b??lu?-[i?r?-i?:];p??r??-yi?-m;;p??rg??-yi?:;pe?du?-i?:;peji?;pe?:j-i?:?;;;;pe?j-i?:?;pe?ju?-i?:;;;;pe?du? i?i?;;;pe?de?:-??d??;p??-yye?\\-mu?;p??g?? e?nde?:\\p??g??-mbo? o?ndo?:;ba?la??a?:wu?;a?nna? we?:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;3;ewe;brebis;00031;;;old;;ewe;brebis;2;b??lu?-ya?;p??r?? ya?-m;p??r?? ya?-m;p??rg?? ya?-?\\ya?:;;pejuna;pe?:ju?-na?:;;;;pe?ju? na?:;pe?ju? ya?:;pe?ji? ya?:;;;pe?du? ya?a?;;;;p??: y??;p??g?? y??:\\p??g??-mbo? ya?wo?:;ku?ru?wa?;a?nna? y??:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;4;ewe;brebis;00032;;;old;;young adult ewe (not yet a mother);jeune brebis (qui n'a pas encore mis bas);2;b??lu?-ya? gi?re?y;p??r?? gu?r??-m;;p??rg?? gu?ra?;;pejugur?;pe?:ju? gu?r??;;;;pe?ju? gu?r??;pe?ju? gu?l??;;;;pe?du? gu?l??y;;;;p??: gu?l??\\-mu?;p??g?? gu?l??\\p??g??-mbo? gu?l??-mbo?;ga?ndi?re?;a?nna? gu?la?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;5;ram;bélier;00033;;;old;;ram;bélier;2;b??lu?-a?ra?, b??l-a?:ra?;p??r?? a?r?a?-m;;p??rg?? a?r?a?;pe?du? a?na?;pejuar?a;pe?:ju?-a?r?a?;;pe?:zu? a?gi?:;;pe?ju? a?r?a?;pe?ju? a?r?a?;pe?ji?-je??je??;;;pe?du? a?na?;;;;;p??g-a?:ne?\\p??g??-mbo? a?na?:;ke?le??-ke?le??;a?nna? wa?la?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;6;ram;bélier;00034;;;old;;ram (castrated);bélier (castré);2;b??l-a?ra? p??lu?;p??re? p??ru?-m;p??r??-a?r?a?-m\\-a?r?a?;p??rg?? p??ri?;pe?du? p??r-u?;pejup?ru;pe?:ju? p??ru?;;;;;pe?ju? p??ru?;;;;pe?du? p??ru?;;;pe?de?: p??r??:;p??: p??du?\\-mu?;p??g?? m??r??-ba?:\\p??g??-mbo? m??r??-ba?:-mbo?;ka?la?bu?;a?nna? ka?mbi?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;7;ram;bélier;00035;;;old;;ram (emasculated by crushing);bélier (émasculé);2;b??l tu?w;p??r?? tu?mbu?-m\\tu?mbu?;;p??rg?? tu?mbi?;;pejutum;pe?:ju? tu?m;;;;;pe?ju? ka?mu?;;;;pe?du? du?mbu?;;;;p??: ka?mbu?\\-mu?;p??g?? du?mb??-ba?:\\p??g??-mbo? du?mb??-ba?:-mbo?;gi?ri?ye?-?o?mbu?;a?nna? t??bu?l??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;8;ram;bélier;00036;;;old;;ram (uncastrated);bélier (non castré);2;b??l-a?ra? ji?w, b??l-ba?-ji?w;p??r?? ji?:m, p??r?? a?-ji?:m;p??r??-ji?-m\\ji?:;p??rg?? ja??i?;pe?du? ka?la?ndu? (stud);pejuaji;pe?:ju?-a?ji?:;;;;pe?ju? ja??u?;pe?ju? ja??u?;;;;pe?du? ja?m;;;pe?de?: za??j??:;p??:-ga??u?\\-mu?;p??g?? ja??a?\\p??g??-mbo? ja??a?-mbo?;?o?mbu? (see gi?ri?ye?-?o?mbu?);a?nna? wa?la?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;9;sheep breed;mouton (race);00037;;;old;;breed of sheep (large, with long ears);race d'ovins (de grande taille, aux oreilles longues);TD;b??lu?-be?lu?, ba?:l-ba?:l;p??r??-ba?:lba?:l-u?m\\-ba?:lba?:l;ba?:lba?:li?;p??rg?? ba?:l, p??rg?? ba?:l-ba?:l;;balbal,pejubalbal;ba?:lba?:l, pe?:ju?-ba?:lba?:l;;;;;ba?:l-ba?:l;;;;pe?du? m??n??g??;;;;p??: ba?:lba?:l;p??g?? ba?:li?-ba?:li?\\p??g??-mbo? ba?:li?-ba?:li?-mbo?;?e?cu?de?;a?nna? su?gi?li?-na ba?y?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;10;sheep breed;mouton (race);00038;;;old;;breed of sheep (mid-sized);race d'ovins (de taille moyenne);TD;b??l-na?: to?w;n??:ra?:ji?;;;;d?raji,pejud?raji;d??:ra?:ji?, pe?:ju?-d??:ra?:ji?;;;;;;;;;m??n??g?? gu?nn??;;;;d??ra?:ji?;;k??:b??:ji?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;11;sheep breed;mouton (race);00039;;;old;;breed of sheep (small, good climbers);race d'ovins (de petite taille, bons grimpeurs);TD;b??l c??t??;p??r?? c??t??-m;p??r??-k??t??-m\\-k??t??;p??rg?? t??r??-k??t??, p??rg?? k??d??:ji?;;pejuc?t?;pe?:ju? c??t??;;;;;d??g??-pe?ju?;;;;ti?be? pe?du?, d??g?? pe?du?;;;;d??g??-p??:\\-mu?;ki?nu?: p??g??\\ki?nu?: p??g??-mbo?;si?:ja? (Ningo);a?nna? de?:je?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;12;sheep breed;mouton (race);00040;;;old;;breed of sheep (with abundant wool);race d'ovins (à laine abondante);TD;ku?ndo?:w;p??r?? ko?ndo?:ru?-m;p??r??-yu?gu?su?-m\\-yu?gu?su?, ku?ndo?w-m\\ku?ndo?w;p??rg?? ko?ndo?:ri?;;pejukundow;pe?:ju?-ku?ndo?w;;;;;pe?ju?-bi????;;;;pe?du? gu?du?lu?, pe?du? b??nj??;;;;;p??g?? ku?l??-g??:\\p??g??-mbo? ku?l??-ga?:;si?ja?\\si?ja?-ge? (Boui);a?nna? d??r??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;13;sheep breed;mouton (race);00041;;;old;;breed of sheep (with limited wool);race d'ovins (sans beaucoup de laine);TD;sa?ga?:w;p??r?? sa?ka?w-m\\sa?ka?w;p??r?? sa?ga?w-m\\sa?ga?w;p??rg?? sa?ga?;;;xxx;;;;;;;;;pe?du? sa?ga?w;;;;;p??g?? sa?ga?w\\p??g??-mbo? sa?ga?w-mbo?;si?ja? ba?na?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;sheep;animal;mouton;1;7;14;sheep breed;mouton (race);00042;;;old;;breed of large sheep (in plains);race de gros ovins (dans la plaine);TD;;;;;;;;;;;;pu?l??-pe?ju?;;;;??n?? b??nj??;;;;pu?l??-p??:\\-mu?;;ku?ru?-ku?ru?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;horse;animal;mouton;1;8;1;horse;cheval;00043;;;old;;horse;cheval;1;so??gu?, so??u?, so??;so?-m\\so?:;so?-m\\so?:;so??;so??;som;so?m;so?m;so?m;;s???;so?m;s??-w? (X s???);so?-w? (X so?:?);xxx;so?m;so?m;so?mu?;so?me?:\\so?m-bo?;so?m;ba?ne?\\ba?-mbo?, ba?n\\ba?n-bo?;po?le? (Ningo);so??o?ni?;;se? (se?: n??);so?njo?m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;pigeon;animal;pigeon;1;9;1;pigeon;pigeon;00044;;;old;;pigeon (domestic);pigeon (domestic);1;tu?su?m;g??:?-m\\g??:?;tu?ru?su?-m\\tu?ru?su?:;ja?:mba?;gu?l??mb??;kikaja;ki?-ka?ja?;ka?-ka?sa?;;gu?mba? (domestic), ki?-ka?ja? (wild);pe?le? gu?mo?;gu?ru?ma?:;pye?le?-bu?mba?la?;pe?le?-bu?mba?la?;;gu?ru?mba?a?;gu?la?mpa?;gu?la?mba?, gu?la?mpa?;ka?ga?da?\\ka?ga?da?-mb??;gu?lu?mba?;gu?rmba?:\\gu?rmba?:-mbo?;po?l?ge? (Boui);de?bu? gu?mba?-gu?mba?;;ku?n??-ku?n?? sa?:mba?;po?lma?la?:ndi? (< Ful.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
